,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
41,Busselton,-33.65,115.33,60.87,73,0,5.82
42,Surdulica,42.69,22.17,44.96,71,0,5.82
43,Sinjār,36.32,41.88,59.14,43,0,5.82
44,Arman',59.7,150.17,7.74,86,0,5.82
45,Marsh Harbour,26.54,-77.06,79.43,80,0,5.82
46,Ushuaia,-54.8,-68.3,59.0,69,0,5.82
47,Port Alfred,-33.59,26.89,65.8,82,0,5.82
48,Bubaque,11.28,-15.83,84.18,73,0,5.82
49,Ponta do Sol,32.67,-17.1,64.8,77,0,5.82
50,Hambantota,6.12,81.12,75.2,100,0,5.82
51,Samarai,-10.62,150.67,81.0,67,0,5.82
52,Gatton,-27.55,152.28,74.03,57,0,5.82
53,Paramonga,-10.67,-77.83,62.31,88,0,5.82
54,Hilo,19.73,-155.09,74.16,65,0,5.82
55,North Bend,43.41,-124.22,50.77,71,0,5.82
56,Saskylakh,71.92,114.08,-11.61,89,0,5.82
57,Lavrentiya,65.58,-171.0,27.86,93,0,5.82
58,Kapaa,22.08,-159.32,80.46,69,0,5.82
59,Lufilufi,-13.87,-171.6,77.0,94,0,5.82
60,Cape Town,-33.93,18.42,60.8,82,0,5.82
61,Ende,-8.84,121.66,88.97,54,0,5.82
62,Port Elizabeth,-33.92,25.57,64.4,88,0,5.82
63,Mnogovershinnyy,53.94,139.92,26.65,99,0,5.82
64,Marawi,8.0,124.29,84.0,75,0,5.82
65,Cayenne,4.93,-52.33,80.6,94,0,5.82
66,Sitka,57.05,-135.33,39.2,86,0,5.82
67,Pisco,-13.7,-76.22,65.7,82,0,5.82
68,Margate,51.38,1.39,52.65,79,0,5.82
69,Wanning,18.8,110.4,72.39,67,0,5.82
70,Saint-Philippe,-21.36,55.77,67.55,68,0,5.82
71,Hermanus,-34.42,19.23,71.01,58,0,5.82
72,City of San Pedro,14.35,121.02,84.11,83,0,5.82
73,Laguna,38.42,-121.42,61.03,43,0,5.82
74,Poum,-20.23,164.02,77.77,78,0,5.82
75,Yellowknife,62.46,-114.35,16.07,85,0,5.82
76,Seoul,37.57,126.98,50.2,62,0,5.82
77,Puerto Ayora,-0.74,-90.35,68.0,95,0,5.82
78,Walvis Bay,-22.96,14.51,58.48,87,0,5.82
79,Kununurra,-15.77,128.73,93.2,63,0,5.82
80,Bredasdorp,-34.53,20.04,71.01,58,0,5.82
81,Broome,42.25,-75.83,34.21,74,0,5.82
82,Narsaq,60.92,-46.05,17.6,61,0,5.82
83,Port Lincoln,-34.73,135.87,58.59,62,0,5.82
84,Yangi Marg`ilon,40.43,71.72,42.8,93,0,5.82
85,Qaanaaq,77.48,-69.36,9.1,80,0,5.82
86,Faanui,-16.48,-151.75,80.1,73,0,5.82
87,Mar del Plata,-38.0,-57.56,64.81,77,0,5.82
88,Santa Maria da Boa Vista,-8.81,-39.83,86.25,32,0,5.82
89,Labytnangi,66.66,66.42,-2.83,92,0,5.82
90,Beringovskiy,63.05,179.32,22.44,95,0,5.82
91,Mahébourg,-20.41,57.7,71.6,88,0,5.82
92,Ilo,-17.64,-71.34,64.6,76,0,5.82
93,Avera,33.19,-82.53,70.47,94,0,5.82
94,Lüderitz,-26.65,15.16,60.46,76,0,5.82
95,Hobart,-42.88,147.33,68.29,48,0,5.82
96,Örnsköldsvik,63.29,18.72,37.4,93,0,5.82
97,Erdaojiang,41.78,126.03,40.41,67,0,5.82
98,Vaini,-21.2,-175.2,82.4,83,0,5.82
99,Taltal,-25.4,-70.48,58.64,74,0,5.82
100,Katsuura,35.13,140.3,57.79,58,0,5.82
101,Mirny,62.54,113.96,23.0,92,0,5.82
102,Dakar,14.69,-17.44,80.6,65,0,5.82
103,Rikitea,-23.12,-134.97,74.44,74,0,5.82
104,Avarua,-21.21,-159.78,80.6,69,0,5.82
105,Ust-Nera,64.57,143.2,-15.14,79,0,5.82
106,Severo-Kuril'sk,50.68,156.12,39.6,79,0,5.82
107,Lagoa,39.05,-27.98,63.82,85,0,5.82
108,Cherskiy,68.75,161.3,2.34,94,0,5.82
109,Carnarvon,-24.87,113.63,69.8,64,0,5.82
110,Uyemskiy,64.47,40.85,33.8,91,0,5.82
111,Codrington,-38.27,141.97,58.32,84,0,5.82
112,Newport,51.59,-3.0,52.0,93,0,5.82
113,Torbay,47.67,-52.73,48.27,87,0,5.82
114,São Gabriel da Cachoeira,-0.13,-67.09,77.2,87,0,5.82
115,Saint Paul Harbor,57.79,-152.41,42.8,48,0,5.82
116,Oeiras,-7.03,-42.13,79.81,59,0,5.82
117,Kaitangata,-46.28,169.85,70.61,40,0,5.82
118,Kuala Terengganu,5.33,103.14,77.0,94,0,5.82
119,Sørland,67.67,12.69,48.06,82,0,5.82
120,Lugovoy,42.95,72.76,30.85,95,0,5.82
121,Kalemie,-5.95,29.19,69.53,79,0,5.82
122,Thompson,55.74,-97.86,-11.2,83,0,5.82
123,Salinas,36.68,-121.66,57.02,58,0,5.82
124,Mossamedes,-15.2,12.15,71.24,81,0,5.82
125,Matara,5.95,80.54,77.09,86,0,5.82
126,Milverton,43.57,-80.92,37.47,69,0,5.82
127,Huarmey,-10.07,-78.15,63.03,85,0,5.82
128,Cabatuan,10.88,122.49,83.66,75,0,5.82
129,Gijang,35.24,129.21,50.0,71,0,5.82
130,Kavaratti,10.57,72.64,82.56,70,0,5.82
131,Semporna,4.48,118.61,82.4,88,0,5.82
132,Tezu,27.92,96.17,67.96,54,0,5.82
133,Kamenka,51.32,42.77,30.0,89,0,5.82
134,Ketchikan,55.34,-131.65,42.8,87,0,5.82
135,Suntar,62.14,117.63,21.63,96,0,5.82
136,Dzaoudzi,-12.79,45.27,77.0,88,0,5.82
137,Tuatapere,-46.13,167.68,69.17,36,0,5.82
138,Cockburn Town,21.46,-71.14,81.88,74,0,5.82
139,Tessalit,20.2,1.01,68.41,24,0,5.82
140,Ternate,0.8,127.4,84.58,70,0,5.82
141,Esperance,-33.87,121.9,68.0,56,0,5.82
142,Tilichiki,60.47,166.1,8.94,92,0,5.82
143,Cabo San Lucas,22.89,-109.91,75.07,53,0,5.82
144,Kruisfontein,-34.0,24.73,57.99,94,0,5.82
145,Souillac,-20.52,57.52,71.6,88,0,5.82
146,Upernavik,72.79,-56.15,13.96,91,0,5.82
147,Phalodi,27.13,72.37,66.4,27,0,5.82
148,Brae,60.4,-1.35,51.8,81,0,5.82
149,New Norfolk,-42.78,147.06,65.79,56,0,5.82
150,Northam,51.03,-4.22,52.32,93,0,5.82
151,Jamestown,42.1,-79.24,37.85,60,0,5.82
152,Silver City,32.77,-108.28,50.38,32,0,5.82
153,Morón,-34.65,-58.62,68.56,81,0,5.82
154,Coquimbo,-29.95,-71.34,55.4,87,0,5.82
155,Ribeira Grande,38.52,-28.7,63.28,80,0,5.82
156,Khatanga,71.97,102.5,-12.05,90,0,5.82
157,Kamaishi,39.27,141.88,37.4,86,0,5.82
158,Butaritari,3.07,172.79,81.01,75,0,5.82
159,Tsiroanomandidy,-18.77,46.03,66.54,90,0,5.82
160,Arlit,18.74,7.39,69.55,25,0,5.82
161,Haines Junction,60.75,-137.51,21.2,79,0,5.82
162,Solnechnyy,50.72,136.63,27.52,95,0,5.82
163,Lorengau,-2.02,147.27,86.5,63,0,5.82
164,Capreol,46.71,-80.92,38.37,93,0,5.82
165,Fairbanks,64.84,-147.72,9.91,84,0,5.82
166,Lebu,-37.62,-73.65,53.76,93,0,5.82
167,Cidreira,-30.18,-50.21,67.53,93,0,5.82
168,Dikson,73.51,80.55,4.24,95,0,5.82
169,Chu,43.6,73.76,32.34,92,0,5.82
170,Abbeville,50.1,1.83,43.97,78,0,5.82
171,East London,-33.02,27.91,65.93,81,0,5.82
172,Mosonmagyaróvár,47.87,17.27,42.67,90,0,5.82
173,Machacamarca,-18.17,-67.03,56.61,31,0,5.82
174,Shimoda,34.67,138.95,58.86,67,0,5.82
175,Camaná,-16.62,-72.71,65.79,73,0,5.82
176,Zeya,53.75,127.27,22.75,89,0,5.82
177,Kargil,34.57,76.1,26.24,73,0,5.82
178,Rundu,-17.93,19.77,71.44,58,0,5.82
179,Broken Hill,-31.95,141.43,68.0,49,0,5.82
180,Uarini,-2.99,-65.11,79.65,78,0,5.82
181,Batemans Bay,-35.72,150.18,70.34,66,0,5.82
182,Bathurst,-33.42,149.58,71.01,70,0,5.82
183,São João da Barra,-21.64,-41.05,72.28,93,0,5.82
184,Rio Grande,-32.03,-52.1,66.99,94,0,5.82
185,Ariquemes,-9.91,-63.04,77.54,77,0,5.82
186,Tasiilaq,65.61,-37.64,23.0,57,0,5.82
187,Kahului,20.89,-156.47,76.41,54,0,5.82
188,Ürümqi,43.8,87.6,35.6,55,0,5.82
189,Provideniya,64.38,-173.3,30.2,74,0,5.82
190,Monte Carmelo,-18.72,-47.5,71.1,76,0,5.82
191,San Patricio,28.02,-97.52,75.06,73,0,5.82
192,Yumen,40.28,97.2,31.19,76,0,5.82
193,Faya,18.39,42.45,59.9,93,0,5.82
194,Urubichá,-15.38,-62.95,76.8,71,0,5.82
195,San Quintín,30.48,-115.95,62.37,71,0,5.82
196,Pevek,69.7,170.31,7.41,93,0,5.82
197,Port Moresby,-9.44,147.18,86.0,58,0,5.82
198,Champerico,14.3,-91.92,73.78,94,0,5.82
199,Nanortalik,60.14,-45.24,29.62,88,0,5.82
200,Portland,45.52,-122.68,46.62,66,0,5.82
201,Clyde River,70.47,-68.59,1.4,77,0,5.82
202,Hurghada,27.26,33.81,69.8,43,0,5.82
203,Bambous Virieux,-20.34,57.76,72.27,88,0,5.82
204,Batken,39.83,71.0,24.49,100,0,5.82
205,Constitución,-35.33,-72.42,55.96,79,0,5.82
206,Hong Kong,22.29,114.16,69.33,50,0,5.82
207,Nur-Sultan,51.18,71.45,14.0,92,0,5.82
208,Ust-Kuyga,70.02,135.6,-9.22,89,0,5.82
209,Adrar,20.5,-10.07,76.48,19,0,5.82
210,Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,51,0,5.82
211,Tashtagol,52.77,87.89,25.72,94,0,5.82
212,Kavieng,-2.57,150.8,84.76,67,0,5.82
213,Pinega,64.7,43.39,33.12,96,0,5.82
214,Fortuna,40.6,-124.16,50.25,87,0,5.82
215,College,64.86,-147.8,10.27,84,0,5.82
216,Loa Janan,-0.58,117.09,86.52,70,0,5.82
217,Ostrovnoy,68.05,39.51,25.99,96,0,5.82
218,Russell,32.35,-85.2,67.73,77,0,5.82
219,Hasaki,35.73,140.83,57.47,62,0,5.82
220,Malkara,40.89,26.9,51.3,80,0,5.82
221,San Borja,-14.82,-66.85,78.24,83,0,5.82
222,Esso,55.93,158.7,17.58,91,0,5.82
223,Kenai,60.55,-151.26,33.85,93,0,5.82
224,Ahipara,-35.17,173.17,63.25,70,0,5.82
225,Alyangula,-13.85,136.42,87.8,62,0,5.82
226,Abadan,38.05,58.21,44.6,87,0,5.82
227,Buk,52.36,16.52,41.67,86,0,5.82
228,Māngrol,21.12,70.12,72.88,40,0,5.82
229,Yulara,-25.24,130.99,86.0,15,0,5.82
230,Yeppoon,-23.13,150.73,84.2,37,0,5.82
231,Rach Gia,10.02,105.08,80.6,94,0,5.82
232,Jiuquan,39.74,98.52,33.35,74,0,5.82
233,Chui,-33.7,-53.46,65.12,85,0,5.82
234,Norman Wells,65.28,-126.83,6.8,84,0,5.82
235,Kerchevskiy,59.95,56.29,15.22,97,0,5.82
236,Caucaia,-3.74,-38.65,80.8,78,0,5.82
237,Bilibino,68.05,166.44,1.54,88,0,5.82
238,Gradačac,44.88,18.43,43.39,84,0,5.82
239,Bathsheba,13.22,-59.52,78.8,88,0,5.82
240,Salitral,-4.86,-80.68,66.74,74,0,5.82
241,Hofn,64.25,-15.21,44.49,80,0,5.82
242,Srednekolymsk,67.45,153.68,-12.96,89,0,5.82
243,Kamina,-8.74,24.99,63.23,97,0,5.82
244,Beloha,-25.17,45.05,66.65,85,0,5.82
245,Corinth,37.94,22.96,55.0,64,0,5.82
246,Steinbach am Taunus,50.17,8.57,44.47,100,0,5.82
247,Volchansk,59.94,60.08,16.23,95,0,5.82
248,Riachão,-7.36,-46.62,80.22,62,0,5.82
249,Tautira,-17.73,-149.15,84.2,66,0,5.82
250,Ancud,-41.87,-73.82,48.83,66,0,5.82
251,Shahrud,36.42,54.98,41.41,68,0,5.82
252,Tigil',57.8,158.67,21.4,96,0,5.82
253,Te Anau,-45.42,167.72,66.79,36,0,5.82
254,Diffa,13.32,12.61,76.89,24,0,5.82
255,Altay,47.87,88.12,38.41,75,0,5.82
256,Kapoeta,4.77,33.59,79.25,58,0,5.82
257,Paso de los Toros,-32.82,-56.52,63.03,91,0,5.82
258,Raton,36.9,-104.44,46.4,12,0,5.82
259,Nouadhibou,20.93,-17.03,75.2,41,0,5.82
260,Fairview,40.81,-74.0,47.68,76,0,5.82
261,Pitimbu,-7.47,-34.81,78.8,83,0,5.82
262,Envira,-7.3,-70.22,74.64,95,0,5.82
263,Saint Anthony,45.02,-93.22,23.97,73,0,5.82
264,Atbasar,51.8,68.33,20.12,96,0,5.82
265,Forsytheganj,52.63,29.73,36.19,84,0,5.82
266,Meulaboh,4.14,96.13,80.13,81,0,5.82
267,Marsá Maţrūḩ,31.35,27.25,62.6,88,0,5.82
268,Xiaoshi,41.3,124.12,42.8,38,0,5.82
269,Damietta,31.42,31.81,66.2,82,0,5.82
270,Coyhaique,-45.58,-72.07,51.8,66,0,5.82
271,Port Hardy,50.7,-127.42,41.7,93,0,5.82
272,Kousséri,12.08,15.03,68.0,28,0,5.82
273,Airai,-8.93,125.41,77.58,42,0,5.82
274,Aksha,50.28,113.29,24.04,88,0,5.82
275,Sola,-13.88,167.55,80.92,83,0,5.82
276,Bayburt,40.26,40.23,30.9,92,0,5.82
277,Taoudenni,22.68,-3.98,73.83,21,0,5.82
278,Jalu,29.03,21.55,65.66,60,0,5.82
279,Ryōtsu-minato,38.08,138.43,51.8,66,0,5.82
280,Geraldton,-28.77,114.6,71.6,64,0,5.82
281,Lang Son,21.83,106.73,65.73,58,0,5.82
282,Sergeevka,53.88,67.42,25.07,90,0,5.82
283,Gostyń,51.88,17.01,44.01,94,0,5.82
284,Aasiaat,68.71,-52.87,17.98,90,0,5.82
285,Isangel,-19.55,169.27,78.8,83,0,5.82
286,Aswān,24.09,32.91,62.94,44,0,5.82
287,Vostok,46.49,135.88,25.12,98,0,5.82
288,Giffoni Valle Piana,40.72,14.94,55.29,89,0,5.82
289,Craig,40.52,-107.55,26.6,68,0,5.82
290,Okakarara,-20.58,17.43,65.89,68,0,5.82
291,Kaeo,-35.1,173.78,72.0,64,0,5.82
292,Vilhena,-12.74,-60.15,71.47,87,0,5.82
293,Nizhneangarsk,55.78,109.55,27.75,93,0,5.82
294,Sur,22.57,59.53,71.06,64,0,5.82
295,Omboué,-1.57,9.26,76.57,90,0,5.82
296,Banda Aceh,5.56,95.32,80.71,81,0,5.82
297,Estelle,29.85,-90.11,67.89,93,0,5.82
298,Rabo de Peixe,37.8,-25.58,60.8,72,0,5.82
299,The Valley,18.22,-63.06,80.53,74,0,5.82
300,Corrientes,-27.48,-58.83,77.0,57,0,5.82
301,Kadoma,34.73,135.58,58.75,82,0,5.82
302,Aklavik,68.22,-135.01,6.8,77,0,5.82
303,Todos Santos,23.45,-110.22,75.0,64,0,5.82
304,Togur,58.36,82.83,18.3,97,0,5.82
305,Palm Coast,29.59,-81.21,76.08,88,0,5.82
306,Esim,4.87,-2.24,78.58,86,0,5.82
307,Vestmannaeyjar,63.44,-20.27,42.91,76,0,5.82
308,San Policarpo,12.18,125.51,83.97,77,0,5.82
309,Harbin,45.75,126.65,33.8,69,0,5.82
310,Padang,-0.95,100.35,81.48,72,0,5.82
311,Darnah,32.77,22.64,65.71,73,0,5.82
312,Galle,6.04,80.22,78.35,83,0,5.82
313,Wagar,16.15,36.2,71.47,88,0,5.82
314,Vardø,70.37,31.11,40.23,82,0,5.82
315,Daytona Beach,29.21,-81.02,75.29,94,0,5.82
316,Dubna,56.73,37.17,33.93,98,0,5.82
317,Port Blair,11.67,92.75,81.95,79,0,5.82
318,Bilma,18.69,12.92,70.09,30,0,5.82
319,Dandong,40.13,124.39,48.16,51,0,5.82
320,Sindor,62.86,51.89,16.63,97,0,5.82
321,Gütersloh,51.9,8.38,43.68,88,0,5.82
322,Olinda,-8.01,-34.86,80.6,74,0,5.82
323,Kargasok,59.06,80.86,18.01,97,0,5.82
324,Wukari,7.85,9.78,76.01,47,0,5.82
325,Amarkantak,22.67,81.75,59.23,98,0,5.82
326,Iqaluit,63.75,-68.51,17.6,67,0,5.82
327,Egvekinot,66.32,-179.17,16.52,93,0,5.82
328,Husavik,66.04,-17.34,35.6,91,0,5.82
329,Mercedes,-34.65,-59.43,68.02,75,0,5.82
330,Liepāja,56.54,21.04,41.0,93,0,5.82
331,Caravelas,-17.71,-39.25,75.56,77,0,5.82
332,Nelson Bay,-32.72,152.15,73.38,69,0,5.82
333,Chimbote,-9.09,-78.58,62.17,89,0,5.82
334,Sechura,-5.56,-80.82,65.57,80,0,5.82
335,Mehamn,71.04,27.85,37.02,81,0,5.82
336,Worthing,50.81,-0.37,53.98,83,0,5.82
337,Cabedelo,-6.98,-34.83,78.8,83,0,5.82
338,Aranos,-24.13,19.12,70.97,52,0,5.82
339,Adana Province,36.98,35.29,53.6,66,0,5.82
340,Alta Floresta,-9.88,-56.09,73.2,88,0,5.82
341,Ugoofaaru,5.67,73.0,82.4,70,0,5.82
342,Arraial do Cabo,-22.97,-42.03,73.31,93,0,5.82
343,Paamiut,61.99,-49.67,31.33,82,0,5.82
344,Lima,-12.04,-77.03,65.08,77,0,5.82
345,Provincia di Vicenza,45.67,11.45,42.37,86,0,5.82
346,Talara,-4.58,-81.27,63.97,89,0,5.82
347,Lucapa,-8.42,20.74,65.84,100,0,5.82
348,Udala,43.08,-2.51,46.67,93,0,5.82
349,Parabel',58.7,81.48,18.16,97,0,5.82
350,Olafsvik,64.89,-23.71,39.33,78,0,5.82
351,Severnoye,56.35,78.36,20.61,98,0,5.82
352,Farragut,35.88,-84.15,58.5,82,0,5.82
353,Emerald,-23.53,148.17,85.01,37,0,5.82
354,Kumul,42.8,93.45,38.32,62,0,5.82
355,Sabha,27.04,14.43,59.34,48,0,5.82
356,Longyearbyen,78.22,15.64,33.8,80,0,5.82
357,Ballyshannon,54.5,-8.18,44.01,88,0,5.82
358,Taozhuang,34.85,117.33,59.7,46,0,5.82
359,Rognan,67.1,15.39,40.44,76,0,5.82
360,Santa Fe,-31.63,-60.7,75.99,44,0,5.82
361,Nebolchi,59.12,33.35,37.33,97,0,5.82
362,Simao,22.79,100.97,61.72,78,0,5.82
363,Tamboril,19.49,-70.61,73.8,94,0,5.82
364,Nome,64.5,-165.41,28.96,92,0,5.82
365,Krasnotorka,48.68,37.53,33.49,84,0,5.82
366,Winnemucca,40.97,-117.74,42.8,45,0,5.82
367,Nioro,13.35,-15.75,75.6,27,0,5.82
368,Porterville,36.07,-119.02,58.84,34,0,5.82
369,Carbonear,47.73,-53.21,46.47,87,0,5.82
370,Namatanai,-3.67,152.43,85.24,69,0,5.82
371,Malanje,-9.54,16.34,59.97,99,0,5.82
372,Vanderhoof,54.02,-124.02,29.77,93,0,5.82
373,Octeville,49.63,-1.64,50.29,93,0,5.82
374,Matamoros,25.53,-103.25,82.4,14,0,5.82
375,Nuuk,64.18,-51.72,24.8,79,0,5.82
376,Evensk,61.95,159.23,4.39,85,0,5.82
377,Sibolga,1.74,98.78,80.6,76,0,5.82
378,Alofi,-19.06,-169.92,84.2,66,0,5.82
379,Metz,49.12,6.17,44.26,93,0,5.82
380,Nazarovo,56.01,90.39,26.26,94,0,5.82
381,Pangai,-19.8,-174.35,82.4,78,0,5.82
382,Kapan,39.21,46.41,41.23,73,0,5.82
383,Howard Springs,-12.5,131.05,89.19,62,0,5.82
384,Linxia Chengguanzhen,35.6,103.21,46.04,73,0,5.82
385,Andra,62.51,65.89,16.95,94,0,5.82
386,Bandarbeyla,9.49,50.81,75.11,81,0,5.82
387,Vila Franca do Campo,37.72,-25.43,60.8,72,0,5.82
388,Port-Gentil,-0.72,8.78,79.56,82,0,5.82
389,Karratha,-20.74,116.85,91.6,16,0,5.82
390,Jumla,29.27,82.18,41.99,45,0,5.82
391,Progreso,21.28,-89.67,79.43,88,0,5.82
392,Bengkulu,-3.8,102.27,81.01,76,0,5.82
393,Mount Gambier,-37.83,140.77,57.2,87,0,5.82
394,Comodoro Rivadavia,-45.87,-67.5,71.6,30,0,5.82
395,Lompoc,34.64,-120.46,56.3,82,0,5.82
396,Mandalgovi,45.76,106.27,29.39,77,0,5.82
397,Okrika,4.74,7.08,77.65,90,0,5.82
398,Buala,-8.14,159.59,85.03,74,0,5.82
399,Escanaba,45.75,-87.06,45.52,75,0,5.82
400,Laas,46.62,10.7,32.0,57,0,5.82
401,Divnomorskoye,44.5,38.14,46.72,64,0,5.82
402,Salalah,17.02,54.09,77.0,73,0,5.82
403,Aboisso,5.47,-3.21,75.83,91,0,5.82
404,Grindavik,63.84,-22.43,39.2,86,0,5.82
405,Tateyama,34.98,139.87,59.27,58,0,5.82
406,Yerbogachën,61.28,108.01,19.17,95,0,5.82
407,Krasnosel'kup,65.7,82.47,-6.56,91,0,5.82
408,East Retford,53.32,-0.94,50.68,87,0,5.82
409,Pelym,61.01,62.0,19.44,92,0,5.82
410,Grand Baie,-20.02,57.58,73.0,80,0,5.82
411,Zorritos,-3.68,-80.68,68.25,81,0,5.82
412,Pacific Grove,36.62,-121.92,55.11,67,0,5.82
413,Itarema,-2.92,-39.92,79.77,74,0,5.82
414,Havøysund,71.0,24.66,39.2,68,0,5.82
415,Longhua,23.61,114.19,68.14,45,0,5.82
416,Tigre,-34.43,-58.58,68.36,73,0,5.82
417,Athabasca,54.72,-113.29,17.1,67,0,5.82
418,Tekkali,18.62,84.23,74.89,72,0,5.82
419,Shingū,33.73,135.98,64.4,68,0,5.82
420,Yaan,7.38,8.57,74.84,57,0,5.82
421,Moussoro,13.64,16.49,81.23,24,0,5.82
422,Osinovo,55.88,48.88,30.25,80,0,5.82
423,Kungurtug,50.6,97.52,27.37,83,0,5.82
424,Anadyr,64.75,177.48,24.8,79,0,5.82
425,Juegang,32.32,121.19,61.0,76,0,5.82
426,Saint-Augustin,51.23,-58.65,32.61,89,0,5.82
427,Iwanai,42.97,140.51,51.58,70,0,5.82
428,Middletown,39.52,-84.4,41.49,80,0,5.82
429,Wilmington,34.23,-77.94,66.51,93,0,5.82
430,Pangnirtung,66.15,-65.71,4.57,89,0,5.82
431,Stornoway,58.21,-6.39,49.17,93,0,5.82
432,Bourail,-21.57,165.48,81.97,57,0,5.82
433,Soyo,-6.13,12.37,79.09,85,0,5.82
434,Manokwari,-0.87,134.08,83.89,66,0,5.82
435,Port Hawkesbury,45.62,-61.35,46.8,81,0,5.82
436,Kuytun,54.34,101.5,23.95,97,0,5.82
437,Umluj,25.02,37.27,71.82,65,0,5.82
438,Half Moon Bay,37.46,-122.43,56.19,76,0,5.82
439,Makkaveyevo,51.75,113.95,8.6,84,0,5.82
440,Varhaug,58.61,5.65,47.32,97,0,5.82
441,Hualmay,-11.1,-77.61,62.55,87,0,5.82
442,Davila,18.47,120.58,78.8,94,0,5.82
443,Lakes Entrance,-37.88,147.98,70.0,63,0,5.82
444,Mollendo,-17.02,-72.01,65.19,75,0,5.82
445,Peque,7.02,-75.91,67.03,81,0,5.82
446,Honningsvåg,70.98,25.97,40.33,83,0,5.82
447,Ulaangom,49.98,92.07,23.83,89,0,5.82
448,Ambon City,-3.7,128.18,84.61,68,0,5.82
449,Toamasina,-18.17,49.38,75.2,83,0,5.82
450,Port Said,31.26,32.28,66.2,82,0,5.82
451,Bereda,43.27,-7.54,53.01,90,0,5.82
452,Malazgirt,39.14,42.54,32.95,89,0,5.82
453,Macaé,-22.37,-41.79,71.73,96,0,5.82
454,Doka,13.52,35.77,75.31,45,0,5.82
455,Daşoguz,41.84,59.97,28.4,68,0,5.82
456,Prince Rupert,54.32,-130.32,42.12,86,0,5.82
457,Barra,-11.09,-43.14,78.1,52,0,5.82
458,Daru,-9.08,143.21,83.82,66,0,5.82
459,Havre-St-Pierre,50.23,-63.6,33.8,84,0,5.82
460,Gornyy,55.12,83.91,24.35,100,0,5.82
461,Grand Gaube,-20.01,57.66,73.0,80,0,5.82
462,Humaitá,-7.51,-63.02,78.96,76,0,5.82
463,Basco,20.45,121.97,78.6,87,0,5.82
464,Hay River,60.82,-115.8,15.8,72,0,5.82
465,Conde,-7.26,-34.91,78.8,83,0,5.82
466,Saint-François,46.42,3.91,49.03,100,0,5.82
467,Borovskoy,53.8,64.15,26.31,88,0,5.82
468,Makokou,0.57,12.86,69.48,96,0,5.82
469,Latung,5.5,120.88,83.03,75,0,5.82
470,San Antonio,29.42,-98.49,74.26,64,0,5.82
471,Bucak,37.46,30.59,49.98,69,0,5.82
472,Bama,11.52,13.69,75.06,32,0,5.82
473,Dolores,-36.31,-57.68,57.85,95,0,5.82
474,Auki,-8.77,160.7,83.93,79,0,5.82
475,Midland,32.0,-102.08,71.31,22,0,5.82
476,Itamaracá,-7.75,-34.83,80.6,74,0,5.82
477,Ubinskoye,55.31,79.68,25.65,97,0,5.82
478,Takoradze,4.88,-1.76,78.67,86,0,5.82
